Node1,Node2,Co-occurrence,Strength,NetworkPass1,Order,NetworkPass2Node1,NetworkPass2Node2,,,,
Assurance,ARM,1,7.18E-04,0,0,0,0,,,,
Analysis,PHP,3,2.64E-04,0,0,0,0,,,,
Monitoring,MsOffice,3,1.15E-04,0,0,0,0,,,,
SAS,PHP,3,7.68E-04,0,0,0,0,,,,
Analyst,MapReduce,2,7.42E-05,0,0,0,0,,,,
Analyst,RiskManagement,13,2.99E-05,0,0,0,0,,,,
Development,MachineLearning,2,3.66E-05,0,0,0,0,,,,
WebAnalytics,R,4,6.19E-05,0,0,0,0,,,,
SQL,HTML,1,2.44E-05,0,0,0,0,,,,
SPSS,BigData,1,3.38E-05,0,0,0,0,,,,
BusinessIntelligence,CRM,3,1.58E-05,0,0,0,0,,,,
Finance,ProductManagement,1,9.38E-05,0,0,0,0,,,,
Unix,ETL,1,0.010416667,0,0,0,0,,,,
Marketing,GO,8,3.37E-05,0,0,0,0,,,,
Database,DataWarehouse,1,4.07E-05,0,0,0,0,,,,
R,Python,3,2.87E-04,0,0,0,0,,,,
MsAccess,RelationalDatabase,1,0.013333334,0,0,0,0,,,,
Marketing,Oracle,5,4.83E-05,0,0,0,0,,,,
DataManagement,Swift,2,0.030303031,0,0,0,0,,,,
Marketing,Network,8,1.07E-05,0,0,0,0,,,,
Analytic,BusinessObjects,5,1.54E-04,0,0,0,0,,,,
WebAnalytics,DataScience,1,5.61E-04,0,0,0,0,,,,
Visio,Network,5,0.002939447,0,0,0,0,,,,
C,ProjectManagement,5,4.77E-04,0,0,0,0,,,,
VBA,R,8,9.43E-04,0,0,0,0,,,,
BigData,jQuery,1,7.44E-04,0,0,0,0,,,,
Reporting,Prototype,1,1.31E-04,0,0,0,0,,,,
GO,Visio,2,0.001481481,0,0,0,0,,,,
Automation,SharePoint,1,2.98E-04,0,0,0,0,,,,
Excel,Visualization,1,8.26E-04,0,0,0,0,,,,
SAS,ProjectManagement,9,1.21E-04,0,0,0,0,,,,
Adobe,Tableau,2,4.44E-04,0,0,0,0,,,,
