Node1,Node2,Co-occurrence,Strength,NetworkPass1,Order,NetworkPass2Node1,NetworkPass2Node2,,,,
SQL,MATLAB,1,0.002314815,0,0,0,0,,,,
GO,Prototype,1,0.083333336,0,0,0,0,,,,
Excel,R,1,8.62E-05,0,0,0,0,,,,
HTML,UX,1,0.06666667,0,0,0,0,,,,
Assurance,Analysis,2,1.57E-04,0,0,0,0,,,,
ProjectManagement,Visio,1,0.033333335,0,0,0,0,,,,
C,Network,1,3.09E-04,0,0,0,0,,,,
C,Oracle,1,0.001785714,0,0,0,0,,,,
Analytic,StatisticalAnalysis,1,8.87E-04,0,0,0,0,,,,
Marketing,Reporting,2,2.12E-05,0,0,0,0,,,,
Oracle,Architect,1,0.007936508,0,0,0,0,,,,
Statistics,Monitoring,1,0.002178649,0,0,0,0,,,,
Analytics,JavaScript,1,5.71E-04,0,0,0,0,,,,
Design,UX,1,8.93E-04,0,0,0,0,,,,
SQL,Hive,1,0.009259259,0,0,0,0,,,,
Analyst,Scrum,1,5.10E-05,0,0,0,0,,,,
Development,Windows,1,1.14E-04,0,0,0,0,,,,
Python,BigData,1,0.005208333,0,0,0,0,,,,
SAS,Oracle,2,0.001984127,4,2,0,0,,,,
Finance,BusinessObjects,1,4.07E-04,0,0,0,0,,,,
Analysis,GO,2,4.19E-04,6,1,0,0,,,,
Statistics,MATLAB,1,0.027777778,0,0,0,0,,,,
Network,CustomerSupport,1,6.17E-04,0,0,0,0,,,,
StatisticalAnalysis,Design,1,7.44E-04,0,0,0,0,,,,
BusinessAnalytic,Python,1,0.083333336,0,0,0,0,,,,
Analytic,UX,1,0.00106383,0,0,0,0,,,,
Analytics,ProjectManagement,1,1.52E-04,0,0,0,0,,,,
SPSS,R,2,0.001567398,0,0,0,0,,,,
Analysis,Oracle,1,8.98E-05,0,0,0,0,,,,
Analysis,Reporting,7,1.96E-04,6,2,0,0,,,,
Analyst,HTTP,1,4.08E-04,0,0,0,0,,,,
Marketing,Assurance,1,5.21E-05,0,0,0,0,,,,
Analyst,BusinessIntelligence,3,3.95E-05,0,0,0,0,,,,
Monitoring,MsOffice,1,0.001633987,0,0,0,0,,,,
Windows,Cloud,1,0.011904762,0,0,0,0,,,,
SQL,Design,1,4.13E-05,0,0,0,0,,,,
Security,UX,1,0.016666668,0,0,0,0,,,,
CustomerSupport,VersionControl,1,0.050000001,0,0,0,0,,,,
Development,DataAnalysis,1,4.58E-04,0,0,0,0,,,,
SAS,Reporting,1,2.20E-05,0,0,0,0,,,,
Windows,Hardware,1,0.005208333,0,0,0,0,,,,
SPSS,BigData,1,0.002840909,0,0,0,0,,,,
Development,R,1,1.18E-05,0,0,0,0,,,,
BusinessIntelligence,CRM,1,1.58E-04,0,0,0,0,,,,
SQL,Analytic,2,1.97E-04,0,0,0,0,,,,
C,VersionControl,1,0.025,0,0,0,0,,,,
BusinessAnalytic,SPSS,1,0.045454547,0,0,0,0,,,,
C,Reporting,1,7.94E-05,0,0,0,0,,,,
R,Python,1,7.18E-04,0,0,0,0,,,,
Marketing,Oracle,1,1.19E-04,0,0,0,0,,,,
Reporting,Architect,1,3.53E-04,0,0,0,0,,,,
Marketing,Network,1,2.06E-05,0,0,0,0,,,,
ProjectManagement,Architect,1,0.003703704,0,0,0,0,,,,
C,ProjectManagement,1,8.33E-04,0,0,0,0,,,,
